sentiment,text
0,has woke up feeling odd and just cannot shake iti think chocolate is needed 
0,lizzyaa oooh that sucks  snugs
0,gonna study one last time the go to sleep i hate test anxiety  just dancegonna be ok
1,want to check out my growing grooveshark playlist go to  
1,btw happy mothers day to all you mommies 
1,curling my hair  while waiting for pizza
0,flowerpotlondon i have exams  but johnny flynn on the th i will be there for sure
1,updated pof amp okcupid with new pics  keys hope i get some good messages hour work day tomorrow night twitterboro
1,today is nobitchassnessfriday give a hater a hug retweet   
0,thehoodnerd   i have a g but for some reason some peoples pages just dont load 
1,michaelsarver what happened to your hand glad to hear that everything went fine 
0,fucking rays lost again 
1,is craving something sweetamp has decided to relax amp stay in amp couldnt be happier 
0,mosquitobedroomsleepdisaster i have bites all her my neck and face 
0,i think it will take me another day to complete  i might have to leave my laptop on again 
1,one of my neighbors is blastin john coltraneniiiiicccccce its like wakin up in a spike lee movie 
0,going to clean up my busted sandbag 
0,im seeing blondie pat benetar and the donnas in aug and i paid  for that ticket and blondie is a ledgend sorry ladygaga yikes 
1,wolfgoodfellow night wolf 
0,anateshel because most of them are crap 
0,i need her  
0,princessbits bad week 
0,i cant do it all 
0,bad night  i kept waking up maths exam now crap i think ill be ok though x
0,is sick at camp 
0,xorangecreamx thats not good news 
1,nic oh like a pub then 
0,famous ppl never reply back to u on myspace  not fair   but even though its been weeks im still waiting for the day that u hopefully reply
1,that s show cliffhanger nice cant wait for the new jonas brothers cd tomorrow 
0,great the siren of the police and the ambulance are adding on to the noise  hmm at least the drunken guys are quiet now
0,someone stole my phonehate thievesmy life is with and on that phoneso much for not wanting it 
1,my hairs still wet who cared its warm outside  and inside 
0,nickcarter another night that i going to bed very sad because you dont twitte me 
0,should really be doing her work ive been slacking way too much i hope i do not pay hard for it 
0,white lime with honey and dannie i put peanut butter on the request list i miss it 
0,morning twitterverse on my way to this supv meeting pissed cus my head still hurts 
0,shooooooooot i just broke my laptop nooooo i am soooo dead crap no ahh ugh 
0,maybe she to good for him we maybe just give up ji 
0,ijustine do u know at what time its been the th for  hrs already 
0,texting dannyy wishing he wnt move awayy 
0,dwsomers samee well i aint a man i am a girl obv nd i am  lol   i aint no special or not famous or rich  wish to be tho xx
1,  mewithoutyousurprise date 
1,off of work and headed to the store to get things for dinner  yay for nights in with my awesome hubby
1,spending the day with creativerenz   gonna drive through laurel canyon to seevisit my sisters new house yay
1,gettin ready for vbs today day  
0,my grandma passed away yesterday and is already burried 
1,jimholmes you must love chaos  but you are a nice person to rescue a dog
1,newsfortruckers thanks i will be looking forward to your tweets as well 
0,nikobatallones its just a shame fox didnt give it a chance to see another day friday is indeed judgement day 
1,iam boreedthis is practicly my saterday one more week untill mexico 
1,haha simpleplan in the trending topics  simpleplan simpleplan simpleplan simpleplan simpleplan   sorry im bored 
0,zombieclara awww  well well have to hang out sometime
1,bini will have puppies after all 
1,samantita if you like  laughhave a good timefollow meits just that simple 
0,missed tcaf due to sickness and soccer  tcaf
0,soi am stuck in jacksonville nc with car problems sorry we didnt make it to smack and will not make it to suspension tonight 
0,donniewahlberg i tried to buy some but its all sold out 
1,anterpreet thanks for the followfirday recommendation  i am honored cuz you included me on the biggies list 
0,i just had my computer die on my right in the middle of me playing the sims 
0,discoknitter no its a stinking toshiba in under warranty for the second time 
1,happy birthday to my second mom toni have a wonderful day and a great trip with your family dont worry about anything else 
1,jordanknight yeah u guys are coming to canada but i need to fly out of canada if catch my drift so please fly me away 
1,what a glorious day looks like we might get a summer this year 
0,im gonna try to ge some sleep  even though thats impossible without talking to jess first im still gonna try
1,yayy out with best friendo 
0,jmliss link didnt work 
0,lexj lol sorry  i miss u too boo boo
1,sion afternoon 
1,cloudstrife yes you all get to have fun amp be heroes amp i get to work my butt off to keep it all going  oh joy
0,trentreznor poor trentie im sorry that people suck 
0,i wonder if i could get some food delivered to asos towers tis looking a bit chilly to be braving the outdoors in gladiator sandals 
0,emmapumpkinpie i will miss it  i get home at  eastern
1,twexit downstairs 
0,kept waking up all morning but not getting upwisdom tooth killing me arm still very bruised and foot bandaged im in the wars 
0,my ipod needs to charge faster  i need my lines vines and trying times right now luv my lvatt lt
1,jamilacherise that hook you did was raw ruttowns newest protege you girl girl ok now im really going to bed 
1,brianpuspos i can massage  hi im such a big fan of soreal and you any plans of going to the philippines
0,alexandraxox i know right its going to be september before we get jobs 
0,is hpoing her wish will come true but everyone denies it     i want my wish to come true sooo bad  
1,getting ready to watch fireproofworking on a projectfun stuff 
0,deloveable 
1,jayroxii yeheyy u kno ay labyo 
0,kirstiealley maybe someday you will respond to mine   todays shot at passive aggressive behavior
0,poisonivy skinny jeans hate me 
0,brighteyesdavid i really shouldnt be checking twitter if im recording the qually to watch later 
0,ok depressing tweets today  screw this lets be happy im gunna go wakeboard my worries away and get ready for the asian championships 
1, i love you jef ivey is a bastard save me
0,crisontoast so needless to say am not sure if i will be able to make it to beerfest this weekend 
0,taylorswift im so upset that i cant come see you because the trains dont run late enough 
0,jhosephine haha me too  besok go
1,bitephotography my scottish bestfriend 
0,we had dairy queen in wv i wanted to work there but i didnt get hired 
0,this cab is too light and watery i think thats why i dont really like cab  i prefer some gusto in my vino
0,tamarabroitman i hope you get all the help you need to feel better soon  and if the th isnt good thats cool theres no rush 
0,superkaylo when will battlefield  be out i already have the points ready and its ment to come out this month 
0,gotta go back to school tomorrow  but only  more days until summer vaca woo hoo
0,charleneli disqus now integrates conversations on many platforms havent heard abt jskit 
0,is at home alone indra wont be back until tonight 
1,chasejarvis awwwmy heart goes out to you 
1,meggslizabeth yeah working is kind of lame but the money is good good  haha im going to text you in the morning dear lt
0,had so much fun djing too bad it got shut down early 
0,ddlovato the final audition for our schools theater group  will start tomorrow im so nervous 
0,hofmann word twist isnt accepting quotmanmomquot as a word 
0,dinner time chinese i wanted chicken 
0,since ive never had a trophy in my whole life  lol ive been a failure for quite some time
0,tastemeimemo shite thats no good 
0,happy birthday david i miss you 
0,gailporter a missed u on monday on the gadget show 
1,oh you know democracy is power 
1,justalicecullen yep  hows the family
1,chillen at home wit fambam amp puppies 
1,dannidavis what do lawyers and sperm have in common danni one in fifty million have a chance of becoming a human being 
1,oh my gosh after tweeting bout amazon before they are now following me  hii amazon 
0,geeyoonit i just sent tommy a sad face because i miss her haha where you going ive been poorly 
1,michaelaperry thank you sweetheart 
1,mzsunshine wow u goin in life is too beautiful to stress drama free is the way  b love live life 
0,watching miami ink i so wish i could get my tattoo 
1,kyra oop oop sorry hon i never saw them honest hows the repo biz then day off i hope meeting a mystery man later  
0,sundeeptoor reuploading  i knew that was gonna happen i was too quick to announce it was online
0,banquet was sad fun and emotional  im gonna miss them so much you cant even imagine
1,i have stained my shirt but i have cooked a yummy dinner 
0,why is my internet  so slow 
0,its no longer sunny in seattle  
0,spending a few more hours with my love then back to warren til sunday night its gonna be the longest week ever  miss amp love you
0,whats the use of telling your still going anyways  ill wait till it fades away hopeful
0,pandagirl where are u 
0,ddlovato awwwww that sucks demi hope you feel better soon 
1,stevyncolgan youd make me a cup thoughright 
0,i am losing horribly at monopoly 
0,austinbello i miss rosas 
0,its not faaaaaair 
1,fcstpauli hell yeah 
0,breakfast w the ceo in the morning then lunch w cherrycolamaus amp suffianr at wendys im officially a glutton need to eat less 
0,shirlyhardjono sayang i miss you too  hope i can talk to you sooon
1,xdollie tina i  your gloves d hahaha 
1,darrenhayes let me guessmmmsometh cosmic  xxx
1,peaceloveangie now thats keeping the bsb pride alive  bsb
1,i love the shopaholic books probably cause i am one 
1,generic samoas and kathy griffin stand up 
0,work six days a week  down  to go 
0,donniewahlberg hope to see you on friday  last sat  waited all day in rainy nj but no ddub hug    still love you
1,i hope to get my new piercing soon gonna make an apointment today  love piercings and tattoos what about you
1,mileycyrus heyy just wondering when r u coming to chicago on your tour i really wanna go 
0,my head iss bangingg 
0,pushkins blood glucose in h of units of vetsulin well cat diabetes 
0,just heard the awful news about the riofrance airfrance flightpraying for the  passengers and crew 
0,i want the sims  
0,its freakin cold here  the relay 
0,figured out why i was such an irritated tweeter last night coming down w something   cant muster the will to sing quotfeverquot
1,the storm lt oh waw niely forever much 
0,my nan is not doing well  i think its time to gather the fam 
0,photo dfolz awe thats no good  
1,just attended seminar from aust super on financial planning pity it was aimed at over s they laughed at me a little bit 
1,sitting here watcinhg mtv x untouched by the veronicas is playing right now pretty good song actually 
1,oooo this song is nearly over  and short stack is on next yay 
1,missbehaves it just happens that we know what the other is talking about  it doesnt happen all the time though
1,rockbaby your addicted to twitter  even whilst waiting in the queue you was twittering a way  but its all good p
1,is happy with her new baby now what to name her kitty pryde suggestions anyone 
0,jthep that sounds like a lot of fun  i tried to just lounge around but i started to think about all the stuff to do 
1,im realizing that i actually did what i needed to this weekend 
1,sarahjacqueline it is imperative that every girl have an emergency kit that has chocolate  feel better
1,  sean made us smoothies tastes way better than jamba juice  fb
0,waiting for the bus to come 
1,cdhq yes mz dhq  how is toronto
1,i love staying up til five   pyschobilliebitchlt
0,my head hurts 
0,woodsmanhans no cameras werent allowed where i was at 
1,wtfoso   im not leaving yet
1,thelockheed well hopefully you have found some 
0,hum my hopes were up so high for saturday now its not a for sure thing  but i know my baby will make me happy
0,some are just so selfish   
1,michaelbolton maybe it is the start of a trend and will fill up cast with coloradans 
1,ludajuice come to cali already 
0,  false alarm they just moved on as fast as they showed up 
0,bad boys do go to heaven rip coach chuck daley 
0,shabbygeek i havent been watching house at alllllll i keep missing it 
0,yonderboy yep its not cool sometimes especially when half of it is taken out in mortgage payments the week you get paid 
0,tjwriter oh dear  poor little tyke i wonder if its like when a grown up wakes up ferociously thirsty
1,bygbaby lol sleep well hun  i am following suit just nowright after i eat this orange 
0,holy shit i wish i was in america just to watch larry king live  goooooooosh someone please record it
0,imjstsayin dr george tiller was assassinated in his church in wichita this morning 
0,i hate feeling hot and tired after going swimming  maaan fuck jon amp katesick of hearing about those morons
0,ive just picked up my daughter from kindy and its sooo cold my toes and fingers are numb 
1,ashleytisdale   beautiful ashely congrats on the big win 
0,i have a case of the mundays 
0,nakajima atsuko did ridic stuff for getbackers back in the day but the code geass heroines tribute just blows that out of the water 
0,tommcfly youre a bad guy with me and i made all to see you now i want your reply  x
0,alwayselle thats great bc last night trish found that lo sasha luke and drew wouldnt be there 
0,minastefan thats pretty freakin weak 
1,just woke up  someone text me
1,thefuzzy good for you  spend within your means and youre on your way to building cash
1,haizzz hem cn ai t i n y i bng qu  bibi c nh tri cy 
1,just cut my nails they were starting to get really long now i can text better 
1,we connect we share ideas and we help to promote the people we believe in 
1,twinkiechan bon voyage mstwinkie may you transform all of europe into your own crafty wonderland 
0,scouting alternate location for the child protective service office the hospital didnt approve of our films content child murdering 
0,anavaldez oh lol but are you gonna be on later cus i need to go do something like  mins no more then that and yea i do 
1,maryssfromparis happy birthday have fun and make your wishes 
0,us up cuz my baby is not feeling good 
0,it is only lunchtime 
1,leehfd only one left  xxx
1,drrandpink awthats sooo sweet hv a great sunny day dear friend 
1,pamjob sometimes its way too much the thinking thing of course  
1,got a b in geometry for the semester notttt bad 
1,happy mothers day its better late than never 
0, got my grandmothers results back from the hospital not good  working right now then going to see her
1,i just napped from  it was so good 
1,slessard that was an amzing show you guys killed it out there id have to say it was one of the most exciting nights of my life thnxs 
1,heyy twitter not doing nothing atm 
0,is hot had a good day with lots of walking  xxx now chilling joseph is flat out in my arms with just a nappy on  poor baby is hot 
0,ksyferd you need  be under quarantine or something get rid of this bug once and for all seems like one or the other is sick each week 
1,  he needs to rethink his life  i think hes related to my buddy bylon 
0,long week ahead ap english exam wed should be fun then some test for culinary i thought that was my easy class 
1,lmehdi happy i wanna get home to test the new lens 
0,demiswissfan twitter doesnt give enough words to explain  lol what you listening to
0,lastofthebest we always reconnect randomly 
0,jefferyself wait why was quotcasserolequot a repeat tonight i was so bummed 
0,getting ready for churchi have to do a poem bc i kno its not just me but old ladies just volunteer you its really sad 
1,  cat in the hat right way round 
0,isamilano yeah and i got plenty of pics to go with the memories just wish i knew if ill ever get to see the guys again 
1,sammonti and yes i did watch 
0,byebye aisyeek im sososo gonna miss yah  i know ive repeated like a thousand times 
1,beatbox girl  supeeeer  
0,didnt get to omars grad party 
1,prmomhawaii doesnt it make you want to get married again  whos wedding  wish we could have made it to yours 
1,not to worry noone got that one next question starts in  minute get your thinking caps on 
0,i lost my voice because ive been practicing since  in the morning till midnight every single day 
1,tempestcrz really nowsince ur still friends w them feel free to tell them i said hi 
1,patronia hah i think new moon is alot easier to read than twilight less than  pages to go 
1,hey twits my big bro jfkarter sed follow meeee lmao 
0,seanlights nooooo dont you dare lol  im gonna cry  i lt your hair
1,dkshack ill be over shortly 
1,teddybeardoctor hee thats right  
1,nothing beats a toothbrush and rubbing alcohol to clean circuits of unidentified crud 
1,georgesampson george you were amazing n bgt i was thinking we dont need no education woo  xx
1,very first stop animation movie complete  took us two and a half hours for less then sixty seconds of film yay for james and jared
1, printable coupon for  off a  purchase at sally beauty 
1,rubyred alex isnt the only one with connections 
1,sigegy good for you 
1,twitadelic just sent you a msg on facebook 
0,ugg my stomach hurts 
1,misskatieprice hey katie loving the show u and peter both make me laugh and all the kids r sooo cute  harvey is amazing bless himx
1,listening to bono  u  grst band in the world  bono rocks 
0,tomfelton have you seen this girl     i feel so bad for her 
1,ashleypeck sleep tight dont let a bad bugs bite you 
0,weird people keep emailing me 
1,had a great day in battersea park with merlin 
1,beautiful day in the city  it pays to live in nyc
1,jlpaluch thanks so youre in florida too what is it with people living here took a walk between meetings and fogged up my glasses 
1,parisdmilan tell this boy fleemula stop callin me mean 
0,catwomanizer hahahahha sama  absen juga ud byk gw huffh okay then gudniteeeeee 
0,its still wet 
1,richardquest aarghi gotta take mom with me  dont wanna tell a lie after i stealya knowi got sum honor 
1,free gey marriage support stickers   
0,is spending the evening in my old hood lil italyand really realllllly missing it now  wanna move bacccccckgetting tingly feelings
1,gnleal exato entendi hahaha  baby
1,muchmusic i was suppose to win k last year what happened to my money 
1,amypredsfan i will keep good thoughts for your success i think youre in the right place though 
0,shinshan i ammm but streaky too from fake tan last week it looked good for a week now  dreadful 
1,he will be here in less than hour 
1,imarkwilliamson  very well thank you we meet every friday at am at the ica in the mall  all welcome 
1,angeladriana i enjoy your shows 
0,yaboifrankd frank 
0,im very sad n hurtin rite now i want be left alone 
1,vacation coming up 
0,me and my dog are having a wiener roast manly bonding mine are veggie his all beef his smell a lot better 
1,extra long half marathon with stunning ocean views tick 
1,whoops googled for bing  only coming soon 
0,feeling so stressed and so run down that im coming down with a cold 
0,going to play on the wii since its raining and theres nothing else to do here i want to go outside 
1, movies in one day  amazing xd
1,this is getting interesting besides thatits been a terrifict day so far 
1,jaimemcknight sticky sweet is awwwwesome 
0,i want the sims  but wont install on my computer 
0,kevjumba its fineee  i started on my  page essay today but i finished within hours  you can do it
1,finally found the relevant bits of paper i think i need a pa 
1,brlamb yeah that sweet sticker is prominently displayed on the back of my ride  working on getting it back up on cafepress soon
0,bestieverdid american craft beer fest is right up my alley unfortunately my schedule conflicts with every single one of the sessions 
1,kitkatcait well then sounds like your subconscious is just as whacky as mine 
0,joepimentel my condolences i hate the dentist too 
0,ahhhhh im normal too  one more week together 
0,bleh icky mood 
1, chaucer is filling up with furniture and things   jg
1,time to get back to my paintingsits been a pleasure to twitter this am i look forward to twitteringreading more this wknd 
1,mollyanne well boo for that i may say hi when i get home 
0,dead battery right  in the middle of an alexisonfire song 
0,half time i think our team is losing 
0,mann my story is takin a while   but i like it
0,stuck in bay to braker traffic hell in san fransisco 
0,surprised that itunes doesnt have any def leppard oldies 
0,  my totally failed coffee art 
1,jeff drove the long way home so he could spend more time with metalking 
1,sophiedee monday fatfingers on the keys today    me too
0,miiikeo wish you were at the g house last night miss you 
1,just found out she got pushed off a chair hit her head on a wheelbarrow last night i took a beating thank you vodka 
0,day work as every day  booooring
1,took pictures  putting all my stuff now in it
0,wow yall  are so busy atm adwilbanks i didnt get a blast 
0,fever nose infection throat infection sat tomorrow morning fml 
0,its super humid here 
0,no iphone for  weeks 
0,leaving the beach 
0,lupinbebop thats lame sorry 
1,manwellreyes i got you man im really proud of this album 
0,preparing for the morning meeting with desktopolympics team a caf downstairs is closed 
0,im wide awake had a real bad nightmareabout fucking zombies woke up the first time to dogs barking the second time to gun shots 
0,on my way to the burial 
0,trying to wake up soo tired busy day again tomorow 
1,starbucks then beer store then bon fire 
0,maggz is it just a stomach flu he sounds like hes been through hell 
1,  todayilived  
0,i hate my hair when its straight it goes static 
1,krisnobles awwww u were beautiful baby bro  im soooo proud of you d
1,bullyinguk dont forget to tell people they can vote every day 
0,sitting on this beautiful evening watching my hubby play softballwe just got down w a great choir prax noah just had an accident  fb
1,have fun bud bring ur ax to learn control  lol 
1,blueeluong hey its all facts aha but yeah we should drink together someday when you come up here in the bay 
1,nicoleharris wow  youre right   
1,fabulous dinner with old coworkers what not to wear with the mom 
1,oolamoola i like that going to do that with my daughter  shell love it thanks 
0,neospace too sad for this kind of war 
1,kelsol you are a very bright and confident woman kelsey you will be fine  
0,ok dotster is a bust as they cant take couk domain names  back to the drawing board 
1,johnashby heheh yeah well check  btw i did remix for your track with moussa clarkemoussa should send this remix to you 
1,found iiiiiiit 
1,jonburg where are your numbers from at least in this country its more like  
0,then malcolms coming in a few minutes  killlllllme hes annoying but yeahfoodbye
1,done with math yay  but i have newspaper homework to do tt
0,ive been writing really catchy choruss recently if only i could write verses that were as good as the chorus  hmph
0,well back to real work tomorrow  i was quite enjoying getting paid to do next to nothing
1,is a great day here in ni makes a change so taking advantage of it  have a good day twitterverse catch you later x
1,is now awake  
1,ninjen gnight youngster rest well 
0,oh and sorry to all the ontdpolitical members who are following me im not being very politically active atm haha 
0,well crap braces  yay 
1,audrimurder yea man we havent seen each other for so long miss you 
0,still up   
1,gilmerdairy damn your making me hungry 
0,anyone mind explaining this to me  stacking food on animals 
0,allergies suck more than a vaccume at a dirt convention 
1,thomasjung i loooove this   esme
0,shanaob thanks for the tip but that didnt quite satisfy my needs 
1,i like the thunder 
1,my birthdays in  days just saying oh and dj mei lwun will be at home too wwwflashandmattyboycom 
0,i wanna watch  again  theyre watching it at tobis amp i cant go
0,tejas burger  my tummy  no mas 
1,the reasons why i use tweetlater  
1,that was sick soma rocks 
1,summerssnowfall well just because you cant use my voice doesnt mean i dont know people 
0,sweethottaco hmmm not so good its sooo boring would rather be in school 
0,mommasalty how did you see it i cant 
0,lynnmcgoo yes i do care really 
0,thelossadjuster oh that sucks im sorry 
0,ahuskylife   we live next to a state park with deer lynx florida panthers rabbits and racoons it is a tick breeding paradise 
1,redid my whole myspace myspacecomchriscallstheshots  oh if we arent friends on ms add me  time for bed night yall
1,seedgirl nope no slacking off but maybe ill do that tomorrow 
1,bigbballer lakers sure thing to win the championship dwight is a frickin beast though it might be tough 
1,sabrina the teenage witch is on 
0,got bit by sometin  dont kno what but it hurrrtttss
1,this tinne next week ill be on my way to london  
0,sunburnt  ugh worst thing ever
1,syntheticseason   your adorable 
0,paranoidangel i would hug you but you dont want the cold i woke up with 
0,elynnomg naw it got canceled 
1,deleciouss 
0,going to go sleep i wish it was the weekend already  more days of work to go 
0,why do the people u want to cmnt u bak never reply bak    im still waiting even though its been weeks plz dnt keep me waiting any longer
0,ashpunch i see mr robofillet saw what i said bout unfollowing himoopsy sorry mr robofillet 
1,oh man oh man oh man oh man oh man oh man oh man oh man tomorrow is going to be awesome 
0,already last call fucking connecticut party was just getting started 
0,mitchelmusso i would so come but i have no way of getting there 
1,mistressb yay for loss of teens  have a great night 
0,ok patching on wow done now trying to play why do i feel dirty all of a sudden 
1,cccassin helluva idea 
1,bmetrick i put it up specifically because i thought youd like it 
1,watching one tree hill  cant wait for season  to come out  lt
1,redeuxx ooh now you have a perfect reason to get the kindle dx 
1,jamienichole yup i sure did thank you 
1,alexthefob  that would be the coolest hanging out with them
1,i like coffee much better if i dump a packet of diet hot cocoa mix in it 
0,but whoops that means less and less money 
0,princessgwenie gingeebee my mommy thanks you for the hugs and kisses you are so sweet shes still feeling pretty bad though 
1,idisposable this f is just a shell bolted to a pedestal in a park   
0,colettehighfive i cant sleeeeeep 
1,amberpatrick ive been checking your tweets for updates often my friendyou so seem to be a pinch tweetlessso not like you 
0,i cannot believe it is the last day of spring break 
0,robertiwataki reheroesfuller eek the idea that he was coming back was the only thing i was looking forward to with heroes 
0,sharmaelise harrrd 
0,child development revision is soooo boring  n
1,personstyles thank u  
1,blues how do you know all these songs and remember them haha 
0,im so sore  work is tough arrgh
0,dc me too  she better be back soon dude this is my typical bedtime but look who is talking what are you doing up so late
1,ngl geek p i love those things 
0,guitarherodevs thanks for eagles of death metal no thanks for no talking heads   
0,i dont want to go 
0,coolcrushicekla went from zero to infuriated in no time flat also he says words that hurt my ears 
1,jjrawr pretending to be busy at work talking to the lady friend and about to watch a movie  lol you
1,lizscherer you just rest hun youll be back to your troublemaking self in no time 
1,shaunjumpnow i love that gameim not very good at it though haha 
1,according to my mum im the saddest person ever for answering brandons questions with his exact answers even the hummus one 
0,pseudrandom sweeping garden  sweeping garden sadly  didnt know it meant something else hehe d
0,joaniesc cupcake updated itself on to the phone last night so the touchscreen works a bit better  still not loving the phone 
1,wondering why random people are following me ive only been to houston  im in sydney now babes
1,themehwarrior  on nd go cant find times restarted didnt watch credits it was a lot fewer than previous  anyway 
1,another great episode of sexgodrocknroll on hdnet the performance was amazing complete with s the song remains the same visual fx 
0,ecaps hahah well its done me no good so far   wish it would   years of hard study to get a boring programming job then redundancy 
1,routhieb  lounges are a great way to end the weekend i must say
0,i have the worst headache today it just wont stop 
1,omg just got twitter on my phone haha 
1,loves to play volleyball  
0,i need to do some errands today 
0,wifi not working in counselors lounge 
1,bcuban omg  the hitler techno bar is right on top of  
0,terrrrod what kind yknow hayleys got infected 
0,finally reached anns school crazy photoshoot got canceled how to shoot when only  host are present 
0,went to the falls today had a blast i feel like a little kid though i scraped my knee 
0,theres no one to save me herewhats wrong with my hair 
1,live joomla usability testing   amp   have fun peeps 
1,just figured out how to work his webcam tonight  best decision ever   and no not because of that you pervs
1,abednegojones ok good then you can go out and have a feast at your expense 
1,jimayson twitpic from the top of the giant ferris wheel pls 
1,super sick almost went to the er tonite kyles staying up all night to take care of me 
1,k so more revision today bad times but only few more days left  
1,sahilk it was on march nd in uktoday all quiet here regarding mothers day  very sweet of u to wish thoughthanks
0,just got back from the hospital been in complete agony all yesterday and today it sucks 
1,right hour and  mins of revision donegive or takedecided to stop as i did enough yesterday to make up fer today 
0,wondering what the eff is happening to time sloooooooooooow dooooooooown 
1,hey ppl 
0,listening to quotconnect the dotsquot 
1,boyislost yeah i agree  maybe ill just get a trim hmm
